Gene,fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841_log2FC,fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841_p-value,fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841_adj-p-value,Status,Normalized_Gene,HGNC_Synonyms,Patient_LFC_mean,Cohort_LFC_mean,Patient_LFC_Trend,Cohort_LFC_Trend,Trend_Consensus,DCS,CSC,CFC,keep,novel,JL_score,CGC,Gene_Score,Disorder_Score,Disorder_Type,PPI_Degree,PPI_Avg_Score,PPI_Score,Composite_Score,Tier,Non_CGC_Composite_Score,Non_CGC_Tier,Rank,Score,Confidence,Justification
KRTAP10-6,2.08892,0.0200409,0.281369,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,KRTAP10-6,KAP10.6;KAP18.6;KRTAP18-6;KRTAP18.6,2.08892,,UP,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,,,,0.002880161836005365,Tier 3,0.002880161836005365,Tier 3,515,28.0,Low,"Disease Specificity: 5 (0-39 — keratin-associated, not a lupus gene). Patient Signal: 85 (|LFC|=2.09, adjusted P = NA — strong fold-change in cohort but p-value missing). Functional: 20 (PPI_Degree=NA — structural/hair-follicle protein with no known immune regulatory role). Clinical: 5 (no clinical significance in SLE). Evidence: 5 (minimal literature linking to lupus or immune dysfunction)."
KRTAP12-3,1.71202,0.038858,0.371082,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,KRTAP12-3,KRTAP12.3,1.71202,,UP,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,2.0,0.5645,1.129,0.010392026938434561,Tier 3,0.010392026938434561,Tier 3,516,28.0,Low,"Disease Specificity: 5 (0-39 — keratin-associated, unrelated to core lupus pathways). Patient Signal: 75 (|LFC|=1.71, adjusted P = NA — moderate upregulation in cohort; p-value unavailable). Functional: 30 (PPI_Degree=2 — low connectivity, likely structural). Clinical: 5 (no SLE relevance clinically). Evidence: 5 (negligible SLE-specific literature)."
DGCR6L,-1.93123,3.76973e-07,0.000418997,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,DGCR6L,DGCR6,-1.93123,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,,,,0.023405547188187784,Tier 3,0.023405547188187784,Tier 3,517,28.0,Low,"Disease Specificity: 10 (Low, 0-39). Patient Signal: 65 (Moderate 50-69); Patient_LFC_mean=-1.93123, adjusted P-value=NA. Functional: 30 (Limited functional/PPI data; PPI_Degree=NA). Clinical: 10 (Minimal clinical relevance, 0-29). Evidence: 10 (Minimal literature support, 0-29)."
LOC100128164,1.80354,0.0443267,0.396243,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,LOC100128164,,1.80354,,UP,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,,,,0.0012553373320322682,Tier 3,0.0012553373320322682,Tier 3,518,28.0,Low,"Disease specificity: Very low (10/100) — no lupus links. Patient signal: Moderate-high (85/100); |LFC|=1.80354, adj P=NA, CSC=0, DCS=-1. Functional: Very low (10/100); predicted/annotated noncoding locus, PPI_Degree=NA. Clinical: Very low (5/100). Evidence: Minimal (5/100)."
OR9Q2,1.70568,0.049462,0.407042,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,OR9Q2,OR9Q2P,1.70568,,UP,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,1.0,0.557,0.557,0.005574400667482496,Tier 3,0.005574400667482496,Tier 3,519,28.0,Low,"Disease specificity: Low (0-39) — scored 10 because OR9Q2 is an olfactory receptor with no established SLE relevance. Patient signal: Moderate-High (70-89) — |LFC|=1.70568 (adj P = NA), meeting the LFC threshold though p-value is missing. Functional: Low (0-29) — PPI_Degree=1 and function is olfactory receptor (noncanonical for immune pathology). Clinical: Low (0-29) — no clinical significance in SLE. Evidence: Minimal (0-29) — negligible literature linking OR9Q2 to lupus."
ZNF236,-3.7458,0.00198165,0.0969556,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,ZNF236,ZNF236A;ZNF236B,-3.7458,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,,,,0.012987153094246084,Tier 3,0.012987153094246084,Tier 3,520,28.0,Low,"Disease specificity: Low (15/100; bracket 0-39) — no lupus-specific annotation. Patient signal: Moderate (65/100; bracket 50-69) with |LFC|=3.7458, Patient_adj_P_value=NA (strong magnitude but p-value missing), CSC=0, DCS=-1. Functional: Limited (20/100; bracket 0-29) — PPI_Degree=NA and likely uncharacterized in immune pathways. Clinical: Minimal (10/100; bracket 0-29). Evidence: Minimal (10/100; bracket 0-29)."
C1orf200,1.61231,0.0212657,0.289245,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,PIK3CD-AS1,C1orf200,1.61231,,UP,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,,,,0.0018035885558785724,Tier 3,0.0018035885558785724,Tier 3,521,28.0,Low,"Disease specificity low (15/100): no prior lupus association or curated disease scores (Gene_Score/Disorder_Score = NA). Patient signal moderate (65/100): mean LFC = 1.61231, adj P = NA, CSC = 0, DCS = -1 indicating modest up‑regulation in the cohort. Functional evidence low (20/100; PPI_Degree = NA, uncharacterized ORF), clinical relevance minimal (10/100), and literature/evidence minimal (10/100)."
C16orf13,-1.10383,0.00223021,0.0999697,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,METTL26,C16orf13;JFP2,-1.10383,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,,,,0.0027027423172837615,Tier 3,0.0027027423172837615,Tier 3,522,28.0,Low,"Disease: 20 (Low 0-39) — absent from the core lupus gene list, Gene_Score/Disorder_Score = NA. Patient signal: 60 (50-69) — Patient_LFC_mean = -1.10383 (|LFC|≥1) with adjusted p = NA and CSC = 0. Functional: 20 (0-29) — PPI_Degree = NA and little functional annotation in immune contexts. Clinical: 10 (0-29) — no known clinical association to SLE. Evidence: 10 (0-29) — minimal supporting literature for lupus relevance."
HSD17B8,1.31656,0.0182108,0.269612,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,HSD17B8,D6S2245E;FABG;FABGL;H2-KE6;HKE6;KE6;RING2;SDR30C1;dJ1033B10.9,1.31656,,UP,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,1.0,0.405,0.405,0.005893903840502562,Tier 3,0.005893903840502562,Tier 3,523,28.0,Low,"Disease specificity: Very low (10/100) — HSD17B8 is not associated with core lupus pathways and has NA for disease scores. Patient signal: Modest (55/100) — |LFC|=1.31656, adjusted P-value=NA, CSC=0. Functional: Some evidence (50/100) — mitochondrial/enzymatic role with PPI_Degree=1, limited immune-network connectivity. Clinical: Low (10/100) — no relevance as an SLE therapeutic target. Evidence: Minimal (10/100) — little to no lupus-focused literature."
FSIP1,-2.46462,0.0178688,0.266748,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,FSIP1,HSD10,-2.46462,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,,,,0.0038887863318423583,Tier 3,0.0038887863318423583,Tier 3,524,28.0,Low,Disease specificity: 10 (0-39: low/NA association with SLE). Patient signal: 65 (50-69: |LFC|=2.46462 but adj P=NA — strong fold-change but no p-value reported). Functional: 30 (0-29/50-69 borderline: poorly characterized in immune pathways; PPI_Degree=NA). Clinical: 10 (0-29: no clinical relevance in SLE). Evidence: 10 (0-29: minimal literature linking to autoimmunity). The large magnitude LFC is notable but the missing p-value and lack of immune functional annotation reduce confidence.
MRPS6,-1.16616,0.00111842,0.0745121,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,MRPS6,C21orf101;MRP-S6;RPMS6;S6mt;bS6m,-1.16616,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,8.0,0.826,6.608,0.03987315977653326,Tier 3,0.03987315977653326,Tier 3,525,28.0,Low,"Disease Specificity: Low (15/100) — no specific SLE association for this mitochondrial ribosomal protein. Patient Signal: Moderate (50/100) — Patient_LFC_mean = -1.16616, adjusted P = NA (LFC ~1.17; P not reported). Functional: Moderate (45/100) — PPI_Degree = 8 indicating ribosomal interactions but not immune-focused. Clinical: Very low (5/100) — no known therapeutic or biomarker role in SLE. Evidence: Minimal (10/100) — little to no SLE-focused literature."
LRRC46,1.67211,0.00572022,0.16039,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,LRRC46,,1.67211,,UP,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,,,,0.003562498050519459,Tier 3,0.003562498050519459,Tier 3,526,28.0,Low,"Disease: 15 (0-39 — no known lupus association / NA Gene_Score). Patient signal: 65 (50-69) — Patient_LFC_mean = 1.67211 (|LFC|≥1.5 but adjusted P = NA), CSC = 0, DCS = -1; lacking p-value prevents higher confidence bracket per rules. Functional: 20 (0-29) — PPI_Degree = NA and LRRC46 is poorly characterized (LRR-containing protein). Clinical: 10 (0-29) — no trial/target relevance. Evidence: 10 (0-29) — minimal supporting literature. Resulting weighted score = 28 with low confidence due to limited annotation and missing cohort significance."
CES1,-3.2716,5.3125e-07,0.000500225,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,CES1,ACAT;CE-1;CEH;CES2;HMSE;HMSE1;PCE-1;REH;SES1;TGH;hCE-1,-3.2716,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,,,,0.03973962261220509,Tier 3,0.03973962261220509,Tier 3,527,28.0,Low,"Disease: Low (15/100) — CES1 is not a lupus-specific gene (Disorder_Score NA). Patient Signal: Moderate/above-threshold (65/100) — Patient_LFC_mean = -3.2716 (|LFC|≈3.27) but adj_P_value = NA so statistical support is missing; CSC=0, DCS=-1. Functional: Limited (20/100) — carboxylesterase with PPI_Degree = NA indicating poor network evidence. Clinical: Minimal (10/100) — no SLE-targeted clinical relevance. Evidence: Minimal (10/100) — scant evidence tying CES1 to SLE pathology."
CEACAM22P,2.90308,0.0447591,0.396278,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,CEACAMP1,CEACAM22P;CGM8,2.90308,,UP,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,,,,0.002943654955049647,Tier 3,0.002943654955049647,Tier 3,528,28.0,Low,"CEACAM22P is highly upregulated in the cohort (Patient_LFC_mean=2.90308, adj_P_value=NA) but is annotated as a pseudogene (limited functional annotation and PPI_Degree=NA) and has no established role in SLE biology or clinical relevance. Scoring breakdown — Disease specificity: 20 (low); Patient signal: 60 (50–69, |LFC|≈2.90, p=NA); Functional: 20 (0–29, uncharacterized/pseudogene, PPI_Degree=NA); Clinical: 10 (0–29, no clinical relevance); Evidence: 10 (0–29, minimal/absent literature in SLE)."
REM2,1.25599,0.000396003,0.0455659,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,REM2,,1.25599,,UP,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,,,,0.004921354284589751,Tier 3,0.004921354284589751,Tier 3,529,28.0,Low,"Disease: 10 (0-39: low lupus specificity). Patient: 55 (50-69 bracket) based on |LFC|=1.25599, adj_P_value=NA. Functional: 35 (0-69: modest/uncertain immune role), PPI_Degree=NA, small GTPase/neuronal/ signaling family member. Clinical: 20 (0-29: no lupus-specific clinical relevance). Evidence: 20 (0-29: limited autoimmune literature)."
MTMR8,-1.8692,0.0038044,0.131377,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,MTMR8,,-1.8692,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,,,,0.004779735406961091,Tier 3,0.004779735406961091,Tier 3,530,28.0,Low,"Disease specificity: 15/100 (no lupus association). Patient signal: 65/100 (|LFC|=1.8692, Patient_adj_P_value=NA). Functional: 20/100 (PPI_Degree=NA, limited interaction data). Clinical: 10/100 (no known clinical relevance in lupus). Evidence: 10/100 (minimal literature linking to autoimmunity). MTMR8 shows one of the larger fold‑changes in the dataset but lacks supporting p‑value, network context, or lupus relevance, so clinical/therapeutic relevance is unlikely."
FAM3B,3.19294,0.00957727,0.20321,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,FAM3B,2-21;C21orf11;C21orf76;ORF9;PANDER;PRED44,3.19294,,UP,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,,,,0.006926782492455547,Tier 3,0.006926782492455547,Tier 3,531,28.0,Low,"Disease specificity: 15 (low, 0-39) — no established role in lupus; Gene_Score/Disorder_Score NA. Patient signal: 65 (50-69 bracket, top of bracket) — Patient_LFC_mean = 3.19294 (|LFC|≥1 and notably >2) but adjusted p-value NA so statistical significance not confirmed. Functional: 20 — PPI_Degree NA; FAM3B (a FAM3 family member) has limited immune functional annotation. Clinical: 10 (0-29) — not a therapeutic target or biomarker in SLE. Evidence: 10 (0-29) — limited literature linking FAM3B to autoimmune disease."
CCDC68,1.51557,0.00215296,0.0987285,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,CCDC68,SE57-1,1.51557,,UP,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,,,,0.004307288920728485,Tier 3,0.004307288920728485,Tier 3,532,28.0,Low,"Not disease-specific to lupus (Disease: Low, 10/100) with no Gene_Score/Disorder_Score available. Shows a higher patient expression change (Patient: 75/100 by LFC threshold, |LFC|=1.51557, adj_p=NA) but otherwise has limited functional (Functional: 20/100; PPI_Degree=NA), clinical (Clinical: 10/100) and literature (Evidence: 10/100) support."
OCEL1,-1.39846,0.0327936,0.346843,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,OCEL1,FWP009;S863-9,-1.39846,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,,,,0.0009421327845031178,Tier 3,0.0009421327845031178,Tier 3,533,28.0,Low,"Disease: 15 (Low, ≤25) — no established link to SLE. Patient signal: 58 (Moderate-low) — |LFC|=1.3985, adj P = NA (−log10(p) unavailable). Functional: 30 (Low) — PPI_Degree=NA and poorly characterized in immunity. Clinical: 10 (0-29) — no clinical relevance in lupus. Evidence: 10 (minimal available evidence connecting OCEL1 to SLE)."
ITGB2-AS1,1.22733,0.00757246,0.184244,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,ITGB2-AS1,,1.22733,,UP,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,,,,0.0019296484754527535,Tier 3,0.0019296484754527535,Tier 3,534,27.0,Low,"Disease specificity: 15 (0-39 — lncRNA with no strong lupus association). Patient signal: 60 (|LFC|=1.22733, Patient_LFC_mean=1.22733, p-value NA → meets |LFC|≥1 criterion). Functional: 15 (0-29 — noncoding/poorly characterized; PPI_Degree=NA). Clinical: 20 (0-29 — no clinical significance). Evidence: 20 (0-39 — minimal supporting literature)."
CCDC77,1.57044,0.0294139,0.332573,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,CCDC77,,1.57044,,UP,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,1.0,0.616,0.616,0.005899182669037008,Tier 3,0.005899182669037008,Tier 3,535,27.0,Low,"Disease specificity: 10 (low, bracket 0-39) — CCDC77 is poorly characterized with no lupus-specific links. Patient signal: 60 (bracket 50-69) with |LFC|=1.57044, p=NA. Functional: 30 (bracket 0-29/50-69 borderline) — PPI_Degree=1 indicating minimal network connectivity; Clinical: 10 (bracket 0-29) — no clinical relevance; Evidence: 20 (bracket 0-29) — minimal published support."
KCNQ5,-1.29733,0.0228398,0.300362,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,KCNQ5,Kv7.5;MRD46,-1.29733,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,1.0,0.912,0.912,0.005619617431064947,Tier 3,0.005619617431064947,Tier 3,536,27.0,Low,"Disease: 15 (0-39, not implicated in SLE). Patient Signal: 55 (50-69); Patient_LFC_mean=-1.29733, adj_p=NA indicating modest downregulation without confirmed significance. Functional: 30 (0-29/50 range), PPI_Degree=1; voltage-gated potassium channel with little immunological role. Clinical: 10 (0-29), no clinical relevance in SLE. Evidence: 10 (0-29), sparse literature linking to autoimmunity."
KRTAP12-4,1.91415,0.0236923,0.304073,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,KRTAP12-4,KRTAP12.4,1.91415,,UP,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,1.0,0.501,0.501,0.00681148284118392,Tier 3,0.00681148284118392,Tier 3,537,27.0,Low,"Disease Specificity: 5 (0-39 — keratin-associated and not implicated in lupus). Patient Signal: 80 (|LFC|=1.91, adjusted P = NA — near-twofold upregulation but p-value not provided). Functional: 20 (PPI_Degree=1 — limited functional/interaction data; structural role). Clinical: 5 (no known clinical relevance to SLE). Evidence: 5 (minimal supporting literature for lupus relevance)."
ADAT2,-1.13483,0.0133745,0.237694,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,ADAT2,DEADC1;TAD2;dJ20N2;dJ20N2.1,-1.13483,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,,,,0.0011904739908653798,Tier 3,0.0011904739908653798,Tier 3,538,27.0,Low,"Disease specificity: Low (20/100). Patient signal: Moderate (55/100). Functional: Low (20/100). Clinical: Low (10/100). Evidence: Low (10/100). ADAT2 has Patient_LFC_mean = -1.13483 (adjusted P = NA), PPI_Degree = NA; it functions in tRNA editing with no known SLE relevance, giving it minimal clinical or mechanistic priority in lupus."
MGC39372,-6.7549,0.0416366,0.385423,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,MGC39372,,-6.7549,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,,,,0.009170227764501746,Tier 3,0.009170227764501746,Tier 3,539,27.0,Low,"Disease specificity: 10 (0-39) — no known lupus association or presence in the provided disease gene list. Patient signal: 70 (50-69/70-89 borderline) — Patient_LFC_mean = -6.7549 (high magnitude) but Patient_adj_P_value = NA; CSC = 0, DCS = -1. Functional: 20 (0-29) — PPI_Degree = NA and uncharacterized function in immune pathways. Clinical: 10 (0-29) — no clinical target or biomarker relevance. Evidence: 10 (0-29) — minimal published support for lupus relevance."
DMC1,1.11221,0.00649188,0.170633,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,DMC1,DMC1H;LIM15;dJ199H16.1,1.11221,,UP,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,1.0,0.578,0.578,0.006293653170075414,Tier 3,0.006293653170075414,Tier 3,540,27.0,Low,"Disease Specificity: 12 (Low, 0-39). Patient Signal: 55 (Moderate 50-69); Patient_LFC_mean=1.11221, adjusted P-value=NA. Functional: 35 (Limited relevance to immune disease; meiosis recombinase, PPI_Degree=1). Clinical: 10 (Minimal clinical relevance, 0-29). Evidence: 10 (Minimal literature support, 0-29)."
KLRAP1,-1.68019,0.000919694,0.0676438,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,KLRA1P,KLRA1;KLRAP1;LY49L;Ly-49L;Ly49,-1.68019,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,,,,0.005993698595098771,Tier 3,0.005993698595098771,Tier 3,541,27.0,Low,"Disease specificity: Very low (15/100) — Gene_Score/Disorder_Score = NA. Patient signal: Moderate-Low (60/100) — Patient_LFC_mean = -1.68019, adjusted P = NA (no p-value available). Functional: Low (20/100) — PPI_Degree = NA and limited functional annotation. Clinical: Low (10/100) — not implicated in SLE clinical programs. Evidence: Low (20/100) — minimal published evidence for lupus relevance."
USO1,-1.04388,0.00122799,0.0765472,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,USO1,P115;TAP;VDP,-1.04388,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,1.0,0.472,0.472,0.007481490526323767,Tier 3,0.007481490526323767,Tier 3,542,27.0,Low,"Disease specificity: Low (15/100). Patient signal: Moderate (55/100) — |LFC|=1.04388, adj P=NA, CSC=0, DCS=-1. Functional: Low (30/100), PPI_Degree=1, vesicle tethering (potentially relevant to secretion but not established in SLE). Clinical: Low (10/100). Evidence: Low (10/100)."
OVCA2,-1.30115,0.0380443,0.368039,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,OVCA2,,-1.30115,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,,,,0.0006431323295807604,Tier 3,0.0006431323295807604,Tier 3,543,27.0,Low,"Disease specificity: Low (0-39) — scored 10 because OVCA2 is not a recognized SLE gene. Patient signal: Moderate (50-69) — |LFC|=1.30115 (adj P = NA), meeting a modest |LFC|≥1 threshold but below stronger cutoffs. Functional: Limited (30-49) — little immune-specific functional data (PPI_Degree=NA) and more known as a cancer-associated antigen. Clinical: Low (0-29) — no known SLE-targeted therapies. Evidence: Minimal (0-29) — little to no evidence connecting OVCA2 to lupus biology."
C19orf71,1.5486,0.0130612,0.23626,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,TEKTIP1,C19orf71,1.5486,,UP,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,,,,0.0021923368442679364,Tier 3,0.0021923368442679364,Tier 3,544,27.0,Low,"Disease specificity low (15/100): no known lupus linkage or curated disorder scores (NA). Patient signal moderate (63/100): mean LFC = 1.54860, adj P = NA, CSC = 0, DCS = -1 consistent with cohort up‑regulation but lacking statistical p‑value support. Functional annotation scarce (20/100; PPI_Degree = NA, uncharacterized), clinical significance minimal (10/100), and evidence minimal (10/100)."
GPRIN3,-1.32735,0.000507835,0.049626,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,GPRIN3,GRIN3,-1.32735,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,,,,0.005099052323707572,Tier 3,0.005099052323707572,Tier 3,545,27.0,Low,"Disease specificity: Low (13/100) — not implicated in SLE genetics or pathways. Patient signal: Moderate (60/100) — Patient_LFC_mean = -1.32735, adj P = NA. Functional: Low (30/100) — neuronal G protein–regulated protein, PPI_Degree = NA. Clinical: Very low (5/100) — no clinical relevance in SLE. Evidence: Minimal (5/100) — little published linking to autoimmune disease."
FAM210A,-1.22302,0.0412313,0.383748,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,MIMS1,C18orf19;FAM210A;HsT2329,-1.22302,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,,,,0.000428753486118444,Tier 3,0.000428753486118444,Tier 3,546,27.0,Low,"Disease: Very low (18) — no established lupus association. Patient signal: Moderate (60) — Patient_LFC_mean = -1.22302 (adj P = NA). Functional: Low (20) — limited functional connection to immune processes, PPI_Degree = NA. Clinical: Very low (10) — not a clinical target/biomarker in SLE. Evidence: Very low (10) — scant lupus-relevant publications. Overall: modest cohort change but minimal disease specificity or clinical/functional support for SLE relevance."
HYI,1.161,0.0395055,0.374732,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,HYI,HT036,1.161,,UP,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,1.0,0.515,0.515,0.004921452215353414,Tier 3,0.004921452215353414,Tier 3,547,27.0,Low,"Disease specificity: Very low for SLE (20/100). Patient signal: Modest (55/100); |LFC|=1.161, Patient_adj_P_value=NA (meets |LFC|≥1 but p-value missing). Functional: Poorly characterized in immunity with low network degree (20/100; PPI_Degree=1). Clinical: No clinical relevance in SLE (10/100). Evidence: Minimal published SLE evidence (20/100)."
CLDN9,1.0041,0.0485481,0.40284,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,CLDN9,DFNB116,1.0041,,UP,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,2.0,0.649,1.298,0.009090909090909092,Tier 3,0.009090909090909092,Tier 3,548,27.0,Low,"Disease: 15 (low specificity; tight junction protein without known lupus causality). Patient: 55 (|LFC|=1.0041, adj P = NA — modest expression change). Functional: 30 (barrier/tight junction role; PPI_Degree=2 but not immune‑centric). Clinical: 10 (no clinical association with SLE). Evidence: 10 (minimal relevance in lupus literature)."
